price,address,sqft_living,latitude,longitude,bedrooms,bathrooms,balcony,car_garage,type_of_building,price_sqft
6709999,"Vasundhara, Ghaziabad, Vasundhara, Ghaziabad, Delhi NCR",1180,28.65493,77.350989,2,2,2,1,Flat,5686
16900000,"firstfloor, Sushant Lok 1 Block C, Gurgaon, Delhi NCR",1935,28.45451736450196,77.08187103271484,3,4,2,2,Flat,8733
12500000,"Sec 30, Near N M C hospital, Noida, Ram Vihar, Noida, Delhi NCR",1800,28.576661,77.339673,3,3,2,1,Flat,6944
5000000,"Unitech Unihomes, Tower A1, Sector-117, Noida, Sector 117, Noida, Delhi NCR",1200,28.577634811401367,77.39510345458984,3,2,3,,Flat,4166
12000000,"Lajpat Nagar, New Delhi, Lajpat Nagar 4, New Delhi - South, Delhi NCR",1250,28.564363,77.24171,2,2,2,2,Flat,9600
2700000,"Plot Number 6 Flat number 101  Hans enclave Gurgaon, Hans Enclave, Gurgaon, Delhi NCR",770,28.497467041015625,77.027099609375,2,2,1,1,Flat,3506
11000000,"Vasundhara Enclave, New Delhi - East, Delhi NCR",1200,28.6017251,77.3178069,3,2,,,Flat,9166
14000000,"Row House, Sector 21 Surya Vihar-, Gurgaon, Delhi NCR",2500,28.51766395568848,77.07933044433594,5,5,,3,Flat,5600
7500000,"Sector 37D, Gurgaon, Delhi NCR",1675,28.446568,76.968477,3,3,,,Flat,4477
12000000,"4a/301, Sector 85, Gurgaon, Delhi NCR",2520,28.406684,76.952289,4,3,3,,Flat,4761
4100000,"Noida-Greater Noida Expy, Sector 134, Noida, Uttar Pradesh, Sector 134, Noida, Delhi NCR",1000,28.503955,77.384451,2,2,2,2,Flat,4100
3790000,"Wave Floor Sec- 2, Wave City N.H. - 24 Ghaziabad, Wave City, Ghaziabad, Delhi NCR",1310,28.646836,77.508238,2,3,2,1,Flat,2893
5200000,"Indirapuram, Nyay Khand 1, Ghaziabad, Delhi NCR",1065,28.63350296020508,77.43159484863281,2,2,3,2,Flat,4882
12500000,"Sector 70A, Gurgaon, Delhi NCR",1830,28.385432,77.017122,3,3,3,1,Flat,6830
15200000,"Sector 48, Gurgaon, Delhi NCR",2268,28.41492080688477,77.03590393066406,3,3,2,,Flat,6701
10500000,"Sector 80, Gurgaon, Sector 80, Gurgaon, Delhi NCR",1821,28.37561513,76.95761609,3,3,3,,Individual House,5766
4000000,"Yamuna Expressway, Greater Noida, Delhi NCR",1115,28.309616,77.55859,2,2,,1,Flat,3587
3329999,"Sector 137, Noida, Delhi NCR",825,28.505584,77.410762,2,2,,,Individual House,4036
17000000,"Niti Khand  1 Indirapuram Ghaziabad, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",3500,28.63601493835449,77.43365478515625,4,3,2,1,Flat,4857
3600000,"Plot No.1, Gadaipur, Mehrauli-Mandi Road, Gadaipur, New Delhi - South, Delhi NCR",750,28.4826489,77.1600563,2,2,2,1,Flat,4800
4500000,"sector 2, Rajendra Nagar, Ghaziabad, Delhi NCR",1250,28.68176651000977,77.36365509033203,3,2,1,,Flat,3600
5500000,"I block - 21069, Noida Extension, Noida, Delhi NCR",1375,28.616204,77.422256,3,3,3,,Flat,4000
24500000,"Sector 60, Gurgaon, Delhi NCR",2797,28.400064,77.0959513,4,4,,,Individual House,8759
45000000,"Sector 42, Gurgaon, Delhi NCR",9000,28.45846939086914,77.108642578125,10,10,10,10,Flat,5000
5000000,"NH 24, Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1470,28.663705,77.470854,3,2,3,,Flat,3401
12500000,"Sector 17, Faridabad, Delhi NCR",3150,28.40966796875,77.33113861083984,3,3,2,,Flat,3968
7400000,"Vasundhara, Ghaziabad, Delhi NCR",1530,28.655782,77.3527833,3,2,3,1,Flat,4836
4100000,"H.No. 18A, Adarsh Nagar, Nandgram, Ghaziabad, Nand Gram, Ghaziabad, Delhi NCR",1200,28.69149398803711,77.40766906738281,3,2,,,Flat,3416
16000000,"Dwarka Sector 22, New Delhi, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",1750,28.5593993,77.0596789,3,2,3,2,Flat,9142
3250000,"Raj Nagar Extension Ghaziabad, Raj Nagar Extension, Ghaziabad, Delhi NCR",1050,28.7001920400432,77.427474,2,2,2,,Individual House,3095
5500000,"2 Floor, Sector 16A, Faridabad, Delhi NCR",1100,28.4088605,77.314687,2,2,2,1,Flat,5000
9000000,"Sector 37D, Gurgaon, Sector 37D, Gurgaon, Delhi NCR",1815,28.455376,76.97621181,3,3,3,1,Individual House,4958
17500000,"Moti Nagar, New Delhi, Moti Nagar, New Delhi - West, Delhi NCR",1600,28.666059494018555,77.15013122558594,3,2,3,1,Individual House,10937
9900000,"Faridabad, Faridabad, Delhi NCR",1650,28.481460571289062,77.31151580810547,4,3,2,,Flat,6000
8500000,"Indirapuram, Ghaziabad, Vaibhav Khand, Ghaziabad, Delhi NCR",1460,28.63822364807129,77.3663558959961,3,3,3,1,Flat,5821
5890000,"Shakti Khand 2, Shakti Khand 2, Ghaziabad, Delhi NCR",1150,28.6467399597168,77.3709487915039,3,2,2,1,Flat,5121
9000000,"Indirapuram, Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1800,28.646093,77.384003,3,2,2,,Flat,5000
24000000,"Cgu061., Kirti Nagar, New Delhi - West, Delhi NCR",1632,28.666059,77.150134,3,3,3,1,Flat,14705
12000000,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1850,28.548787,77.346032,3,4,4,,Flat,6486
6400000,"GA 703 Assotech Windsor court Sector 78Noida, Sector 78, Noida, Delhi NCR",1390,28.56118695507,77.3865691983336,3,3,3,,Flat,4604
33000000,"Golf course Extension Road, Gurgaon, Sector 66, Gurgaon, Delhi NCR",3699,28.401255,77.053437,4,4,3,2,Individual House,8921
10000000,"Second Floor Villa 83 Block III Charmwood Village, Charmwood Village, Faridabad, Delhi NCR",1908,28.4913752,77.2908548,4,3,1,,Individual House,5241
8500000,"Sector 75, Noida, Sector 75, Noida, Delhi NCR",1550,28.5784405855563,77.3814075289833,3,2,3,1,Flat,5483
7400000,"Sector 143B, Noida, Uttar Pardes, Sector 143 B, Noida, Delhi NCR",1480,28.495486,77.25219,3,3,,,Individual House,5000
4300000,"151., Indirapuram, Ghaziabad, Delhi NCR",968,28.6493479,77.3696259,3,2,1,,Flat,4442
5800000,"Sector 143A, Noida, Delhi NCR",1150,28.499248504638672,77.42980194091797,2,2,,,Flat,5043
9000000,"Sector 35 Sohna, Gurgaon, Delhi NCR",1750,28.283682,77.047379,3,3,,,Flat,5142
3500000,"Upper Ground Floor Plot Number 101 Lane No 6  Dwarka Mor Delhi West Delhi, Dwarka Mor, New Delhi - West, Delhi NCR",800,28.63477325439453,77.0490951538086,3,2,1,,Flat,4375
12500000,"Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",1700,28.5775127933567,77.042535339585,2,2,3,1,Flat,7352
6200000,"Flat no. 1404 Floor 14th Tower Peace  Wing B Sikka Karni Green Sector 78 Noida, Sector 78, Noida, Delhi NCR",1210,28.5604873040921,77.384084,2,3,3,1,Flat,5123
2550000,"Swaroop garden gurgaon, Rajendra Park, Gurgaon, Delhi NCR",540,28.49748611450196,77.02713012695312,2,2,1,1,Flat,4722
6000000,"Rr 9 top floor, naveen shahdara., Naveen Shahdara, New Delhi - East, Delhi NCR",1100,28.67613220214844,77.28523254394531,2,2,1,,Flat,5454
11000000,"Mahindra Aura, Sector 110 A, Sector 110A, Gurgaon, Delhi NCR",1610,28.513139,77.025952,3,3,3,,Flat,6832
11000000,"Indirapuram, Ghaziabad, Delhi NCR",2245,28.6485932413911,77.3794392124472,4,3,,,Individual House,4899
4100000,"E 55B Vishwakarma Colony MB Road New Delhi 110044, Vishwakarma Colony, New Delhi - South, Delhi NCR",900,28.524024963378903,77.21276092529297,3,2,1,,Flat,4555
9300000,"FLAT NO.301FLOOR-3RDBlock-HSECTOR 78-79MAPSKOMOUNTIVILLEGURGAON, Sector 79, Gurgaon, Delhi NCR",1490,28.37423557,76.95241631,3,3,3,,Flat,6241
7500000,"342 Durgapuri Extension Delhi India, Durgapuri Extension, New Delhi - East, Delhi NCR",1250,28.686542510986328,77.29959869384766,3,2,2,2,Flat,6000
4500000,"flat no 1203 Paras seasons 168 Noida, Sector 168, Noida, Delhi NCR",1130,28.4962932685044,77.4085199482841,3,2,2,,Flat,3982
9400000,"15051., Sector 150, Noida, Delhi NCR",1625,28.42491581294641,77.486721,3,2,3,,Individual House,5784
3400000,"Lg3/78., Sector 6 Vaishali, Ghaziabad, Delhi NCR",900,28.6485885,77.3533389,2,2,1,,Flat,3777
7000000,"Delhi., Subhash Park-Shahdara, New Delhi - East, Delhi NCR",1008,28.686573028564453,77.29962921142578,3,2,1,2,Flat,6944
22500000,"Kalkaji, New Delhi - South, Delhi NCR",1900,28.543664932250977,77.25489807128906,3,3,2,,Flat,11842
20000000,"D 1001 BPTP Freedom Park Life Sector 57 Gurgaon, Sector 57, Gurgaon, Delhi NCR",2428,28.423439458762,77.0691066564545,3,4,3,2,Flat,8237
9700000,"C-177, First Floot, Kendriya Vihar, Sector 56, Gurgaon, Kendriya Vihar, Gurgaon, Delhi NCR",1250,28.4245106404379,77.1013245863658,3,2,2,2,Individual House,7760
13500000,"601., Sector 21C, Faridabad, Delhi NCR",2800,28.430349349975582,77.29561614990234,4,4,2,7,Flat,4821
